Cities,Nicosia,Athens,London,New York,Los Angeles,Rio,Cape Town,Tokyo,Sydney,Beijing
Nicosia,0,913,3216,8784,11770,10318,7838,9056,14416,7063
Athens,913,0,2392,7926,11095,9719,8014,9509,15325,7613
London,3216,2392,0,5570,8756,9276,9670,9561,16994,8138
New York,8784,7926,5570,0,3935,7758,12564,10846,15989,10986
Los Angeles,11770,11095,8756,3935,0,10142,16050,8811,12074,10060
Rio,10318,9719,9276,7758,10142,0,6059,18565,13521,17317
Cape Town,7838,8014,9670,12564,16050,6059,0,14736,11011,12955
Tokyo,9056,9509,9561,10846,8811,18565,14736,0,7825,2099
Sydney,14416,15325,16994,15989,12074,13521,11011,7825,0,8951
Beijing,7063,7613,8138,10986,10060,17317,12955,2099,8951,0
